customer_id,first_name,last_name,email,phone_number,address,city,state,country,zip_code,date_of_birth,registration_date,status
927,Shawn,Blackwell,karenpearson@hotmail.com,190.903.0811,"54345 Sullivan Forest
South Martin, TN 12331",South Jessica,Alaska,Monaco,34188,1964-03-21,2022-10-15,Inactive
116,Joseph,Miles,hamptonhannah@schultz.com,001-436-003-5628x004,"7052 Jose Drive
Heatherhaven, SC 39364",Kingview,Maryland,Seychelles,79254,1990-06-02,2021-08-09,Active
173,Stephanie,Bird,smithkelly@stewart.com,4326762053,"924 Daisy Flat
Alisonville, GA 68400",South Randallside,Hawaii,Saudi Arabia,32426,1973-01-31,2020-03-02,Inactive
799,Cindy,Krueger,jsmith@gmail.com,361.544.5163x554,"499 Zimmerman Union Apt. 977
Michaelstad, WY 39216",Zavalaland,South Carolina,Timor-Leste,97836,1995-10-01,2022-01-14,Active
640,Patricia,Brown,tonylopez@lawson.info,9553650578,"87508 John Grove
North Danny, NY 20045",South Barbaraburgh,Kansas,San Marino,33515,1985-11-13,2024-05-30,Active
251,Janice,Doyle,martinjennifer@lewis.com,988-345-8971x63293,"5335 Humphrey Way
Washingtonmouth, SD 17890",Lopezport,Missouri,Christmas Island,45719,2000-04-11,2022-02-14,Active
433,Gabrielle,Sharp,whowell@yahoo.com,001-216-884-3547x6778,"089 Simmons Lights Suite 149
New Jimmybury, SC 73161",Lake Travis,Rhode Island,Denmark,21718,1968-08-20,2020-05-14,Inactive
696,Todd,Brown,nancy60@norman.com,(018)738-6098x3196,"6262 Wolfe Well Apt. 653
New Dennis, IA 54177",Shepardside,Vermont,Brazil,27707,1977-11-14,2022-12-02,Inactive
672,April,Fowler,umadden@white.net,001-533-581-7586,"7009 Cole Mountains
Port Dennis, DE 68532",South Lance,Hawaii,Heard Island and McDonald Islands,61932,1997-07-21,2021-07-27,Active
892,Jennifer,Powell,thicks@miller-moore.com,027-918-0437x2768,"9469 Hannah Junction
Conleytown, FL 69166",Johnsonfort,Hawaii,Mali,95579,1962-12-08,2023-08-31,Inactive
843,Michael,Jackson,erica41@carlson.biz,+1-618-913-0817x9537,"49615 Wells View Suite 231
Pittsport, KY 56170",North Amandafurt,Kansas,Wallis and Futuna,62971,1993-07-04,2022-04-14,Inactive
299,Shannon,Boyd,jamie17@wright.info,(935)275-1955,"54985 Erika Underpass Suite 151
North Christina, WA 16400",Woodmouth,Michigan,Ecuador,03636,1986-02-02,2023-08-10,Inactive
353,Erin,Shields,enelson@peters.com,296.869.6195x0032,"703 Simmons Run
West Susanview, RI 60493",Gregberg,Vermont,Guinea-Bissau,28088,1943-09-15,2022-11-18,Inactive
498,Randall,Foster,bennettmatthew@yahoo.com,001-376-875-9060x49066,"19458 Charlotte Wells
South Carlyshire, IA 41893",North Jerryview,Minnesota,Madagascar,46504,1998-03-11,2024-05-16,Inactive
931,David,Ryan,frank80@bowman.com,001-881-092-3180x4229,"1142 Sanchez Summit Apt. 618
Port Davidland, PA 53738",New Charleschester,South Dakota,Romania,27463,1978-12-06,2020-08-29,Inactive
